date,eta_z_H,eta_p_H,eta_x_H,eta_g_H,eta_z_F,eta_p_F,eta_x_F,eta_g_F,eta_r,init_values,steady_state
2002.25,0.00081863558773855,8.90149769719587e-05,5.18803657343075e-07,2.28327888457681e-05,-1.90174854257494e-05,-2.42412937084649e-05,1.20899668244199e-06,2.75565626477663e-06,-0.00158126861069289,0.0022536370039922,0.00156407642432594
2002.5,0.000225188262906294,1.36830363928316e-05,4.46907688185805e-07,5.20825444451243e-06,-8.64943455177269e-05,-3.29460467828245e-05,2.58548464432091e-07,2.37377657866364e-06,-0.00401294828531996,0.00227338823933268,-0.00161184165181292
2002.75,0.000224449457286997,-6.07829960702105e-05,-4.02164815373856e-07,5.88071134561792e-06,-0.000144676130123941,-3.93845472796806e-05,3.90795746377587e-07,-2.1361221673593e-06,-0.00382734224093551,0.00225841095641398,-0.00158559228059911
2003,-0.000579309893552954,-0.000203872035558508,-1.35831330892902e-06,-2.65532410623776e-05,-0.000248532010900144,-4.88946614183372e-05,-1.31563661144175e-06,-7.21476135779096e-06,0.00306832793985722,0.00221599814939603,0.00416727553548276
2003.25,-0.000340171437457529,-0.000189035151387217,-2.26875472425503e-06,-2.11538987489214e-05,-0.000373660477560277,-6.2809648322227e-05,-9.93211113128075e-07,-1.20506247029022e-05,-0.00238564803675572,0.00215256244028374,-0.00123522880048843
2003.5,-0.000318708090646549,-0.000109515692806043,-2.60468819619595e-06,-9.14989447656482e-06,-0.000525669908429552,-7.91302818561493e-05,-4.61837570542794e-07,-1.38349551782172e-05,-0.00162362271114826,0.00207357650203777,-0.000609121558270304
2003.75,0.000634607542951269,7.6670072156928e-05,-3.33654119601306e-06,2.6149649988749e-05,-0.000651518779843067,-9.19182066400506e-05,1.40706563399011e-06,-1.7722235607522e-05,-0.00168792314582987,0.00198360583372939,0.000270021255343803
2004,-0.000368260683962647,-3.41344099786136e-05,-3.75095533555046e-06,-5.21786329934943e-06,-0.000764307485088202,-9.85841444958128e-05,-3.15471817432495e-07,-1.99234207835799e-05,0.00164315627893138,0.00188638918611736,0.00223505103028755
2004.25,1.53151989831919e-06,5.75516666962223e-05,-3.98268040705866e-06,5.72055892813306e-06,-0.000828603055135641,-0.000103155339143225,2.6845933702762e-07,-2.1154242185799e-05,0.00284235170083283,0.00178493906447828,0.00373546765329909
2004.5,-0.000365612793010635,5.26566845322145e-05,-4.02257420046983e-06,-6.90472622141241e-06,-0.000857376645998095,-0.000102895181689964,-4.30866740091629e-07,-2.13661404254957e-05,-0.00166908016346507,0.00168164603755388,-0.00129338636966514
2004.75,0.000357907953399368,0.000185306950710268,-4.15677841964028e-06,2.75816212781901e-05,-0.000838548853746962,-9.85085095649313e-05,1.41002586916807e-06,-2.20789740612693e-05,-0.00227235781039787,0.00157837786279321,-0.00108506651214047
2005,-0.000274132399646536,0.000103672709137134,-4.09167423271553e-06,2.18509441318147e-06,-0.000804745820068013,-8.88645330630605e-05,8.06642440322563e-08,-2.17331693275843e-05,-0.00154598647082115,0.00147656899830533,-0.00115704660105938
2005.25,7.88383723055402e-05,0.000160828088683629,-4.13070281714202e-06,1.32240672046868e-05,-0.000753286488611733,-7.83308992081947e-05,7.1469125297427e-07,-2.19404719586625e-05,0.0015011384042751,0.00137729882742891,0.0022743538885551
2005.5,-0.000887833629278508,9.28237210752366e-05,-3.46187447675733e-06,-1.67634632101417e-05,-0.00069956557837895,-6.62003463947923e-05,-9.49864567931129e-07,-1.83879507299574e-05,0.00129200175548317,0.00128135850625692,0.000973021275778287
2005.75,0.000247062852888084,0.000338927927376344,-2.95686889935529e-06,3.39642824993873e-05,-0.00059095525244324,-5.18510116338622e-05,1.73066688704542e-06,-1.57055837816561e-05,-0.00251511129328569,0.00118930718784401,-0.00136558709254894
2006,0.00101934149042219,0.000513473009467221,-2.20766610493427e-06,7.13187085049265e-05,-0.000460892002968753,-2.94613094379527e-05,3.71100595532974e-06,-1.17261488936922e-05,-0.00324924598550416,0.00110151876539194,-0.00104417013316789
2006.25,0.00169944246293574,0.00066960758610612,-1.17222318856184e-06,0.00010264781696527,-0.000319786689074293,9.35317959518178e-07,5.3586848297454e-06,-6.22633269360471e-06,0.000489386521275991,0.00101822039711417,0.00365841354223009
2006.5,0.000757912656354303,0.000606099326017592,4.25619527749627e-07,5.90411702967047e-05,-0.000155725327609809,3.97218279390435e-05,2.98391501280346e-06,2.26070325729923e-06,-0.00415704098909355,0.000939524046672672,-0.0019047970516252
2006.75,0.000703324236900729,0.000631330669430519,2.31681308727782e-06,5.70204628616567e-05,8.40992819490245e-05,8.44461479228837e-05,2.85181381400137e-06,1.23058895362627e-05,-0.00697022997131717,0.000865452168849559,-0.00452708248696526
2007,0.000119117781611368,0.000534409586664891,4.02858362722173e-06,3.86873767661573e-05,0.000378300450531682,0.000134087092879799,1.88201664658817e-06,2.13980598505843e-05,-0.00301988759948348,0.000795958534694222,-0.000992018116210969
2007.25,0.00138477290434795,0.000686002139969625,5.54023758642802e-06,8.42353965516609e-05,0.00069807552521059,0.000183704233034294,4.36970121585383e-06,2.94272991281061e-05,0.000219314605009175,0.000730945049066322,0.00402638709112
2007.5,0.00106361907956855,0.000648772884757869,7.55457983503167e-06,6.73216951865356e-05,0.000990782154564276,0.000234811256680631,3.43396570893169e-06,4.01265969418413e-05,-0.0031498452340499,0.000670275279755485,0.000576852258949247
2007.75,0.00181748191702313,0.000652236052422074,8.73485156367689e-06,8.81309637328598e-05,0.0012837616358402,0.000286012783941902,4.6349705545518e-06,4.63956799314183e-05,-0.000142737442428288,0.00061378529749375,0.00465843671007527
2008,0.00128275948060555,0.000421264753167795,9.51099727577433e-06,7.17109772835702e-05,0.00149395620808128,0.000332326952835275,3.80558186728158e-06,5.05182237177787e-05,0.000305180334121238,0.000561292322316502,0.00453232583127203
2008.25,0.00276701640135873,0.000672029993057899,1.05940181273563e-05,9.68832383856356e-05,0.00162187467986852,0.000366709670948368,5.05782995762572e-06,5.62707529305245e-05,0.00109513737450252,0.000512601583694083,0.00720417554283127
2008.5,0.000606704096251682,0.000255696943686644,1.16721798087376e-05,2.10258105962543e-07,0.00174902050061677,0.000403831497061519,-1.6429087371885e-07,6.19974723737834e-05,-0.00294343760700402,0.000467511728337605,0.000613042778364969
2008.75,-0.00149564952139034,-0.000484355544499981,1.03307823150936e-05,-9.16446146972314e-05,0.0018812169539084,0.000429685568172687,-4.76393059079063e-06,5.48725603678699e-05,-0.00918144846649323,0.000425819048780179,-0.00845593716412734
2009,-0.00468773632826371,-0.00138644437299871,6.80920274807416e-06,-0.000228378124091588,0.00182485354373569,0.000418948004964435,-1.17445075714783e-05,3.6167482525004e-05,-0.00359491630737393,0.000387320755876707,-0.0072351206504495
2009.25,-0.00237601434820261,-0.000952834373536668,5.05503364269284e-06,-0.000139295340364478,0.00155328192953036,0.000358949094210553,-7.21374482670885e-06,2.68501097264453e-05,0.000433817437099224,0.000351817477470652,-0.000745586725250542
2009.5,-0.00197158855782318,-0.000763043637105671,3.32203948288965e-06,-0.000116827029993902,0.00122431755304667,0.000290002166964787,-6.21045910471181e-06,1.76452089018455e-05,-0.00137263998619904,0.000319115132077258,-0.00237590756975305
2009.75,-0.000423540331315554,-0.000446425742187106,1.25035024920522e-06,-4.28768197142241e-05,0.00091767693896718,0.000220669468499875,-2.35592345495465e-06,6.64130919013361e-06,-0.00159098444837226,0.000289026299173011,-0.00107091889896469
2010,0.000237797779267435,-0.00028559905950087,-6.39087959672673e-07,-1.07749116098038e-05,0.00061443059641214,0.000158151968159669,-6.71500270414171e-07,-3.39455344018593e-06,0.000186986873393102,0.0002613711854289,0.0011576592898803
2010.25,0.000659467359499131,-0.000150876727833766,-1.69991776457636e-06,1.0694754286962e-05,0.0003246688810401,0.000103410229954093,4.29197703405677e-07,-9.02921359797156e-06,0.00155701786434749,0.000235978268052683,0.00273006069568755
2010.5,-0.000421436568523553,-0.000204407223052415,-1.91925864513104e-06,-2.30389622981019e-05,8.23555601611824e-05,5.86049303685615e-05,-1.47120883849841e-06,-1.01942556385723e-05,-0.00191224035869429,0.000212684681541963,-0.00222106266361885
2010.75,7.39819174563997e-05,-0.000107642892438443,-2.25431687904221e-06,-1.13656966820765e-07,-5.74303083743483e-05,2.32277938899324e-05,-2.19054063720014e-07,-1.19739372354039e-05,9.83205599399163e-05,0.000191336401982685,0.000207232507311155
