date,eta_z_H,eta_p_H,eta_x_H,eta_g_H,eta_z_F,eta_p_F,eta_x_F,eta_g_F,eta_r,init_values,steady_state
2003,-0.000101937705090514,-3.72984507564072e-05,-1.08329341952622e-05,-1.54683185317686e-06,-0.00134993228986223,-0.00018229008984611,2.97552573939376e-09,-5.7539769734787e-05,0.00367579993267526,0.000823172566046392,0.00275759740290891
2003.25,-0.000106663519856962,-4.63182442642599e-05,-1.17178950624524e-05,-2.51256426090841e-06,-0.00188805962835621,-0.00020711772322702,-5.07495211453657e-08,-6.22402916436793e-05,-0.00300134805928219,0.000733833020818996,-0.00459219565465583
2003.5,-0.00011998771822166,-5.35813747891845e-05,-4.79624034752889e-06,-3.54707899264314e-06,-0.00120579601951124,-0.000141331205259791,-1.12119631877834e-07,-2.54755138557201e-05,-0.00201718869856686,0.000650728509632699,-0.00292108745954381
2003.75,-2.71541962290394e-05,-5.49569476501243e-05,-5.32561230963503e-06,-5.00484860667707e-06,-0.00131534287789611,-6.18452811831795e-05,-2.60857369557349e-07,-2.82873042953741e-05,-0.00208142774408898,0.00057463952499156,-0.00300496614463712
2004,-9.10437937777618e-05,-4.85375777763564e-05,-3.27557560254103e-06,-2.77648632654724e-06,-0.000608765365591254,-7.31174169566565e-05,-8.26971700247604e-08,-1.73984132573728e-05,0.0019134096719429,0.000505783824467028,0.00157419616995141
2004.25,-6.65279767937145e-05,-4.6181557860103e-05,-1.34584350128471e-06,-3.14737226788624e-06,-0.000476115905464901,-2.26604870720682e-05,-1.27079717633982e-07,-7.14852723806367e-06,0.00329112222462106,0.00044402290500833,0.00311189037971373
2004.5,-0.000100875470958025,-3.97006848685708e-05,3.46763680563224e-07,-2.2986095864822e-06,0.000107452651490263,8.12010018507831e-06,-5.82214934522099e-08,1.84185576800784e-06,-0.00213296612142247,0.000389002252873027,-0.00176913548433207
2004.75,-3.71518111047788e-05,-3.22839907798728e-05,-1.10718807019252e-06,-3.61730419974862e-06,-8.06355857962535e-05,6.42471019968963e-05,-2.03387886682051e-07,-5.88089482163056e-06,-0.00275065224104033,0.000340246053313246,-0.00250703924838934
2005,-7.83192278201698e-05,-1.98661685316319e-05,-7.27216455313005e-07,-1.57193516265924e-06,0.000125442034569227,4.4620823576626e-05,-5.64267586237789e-08,-3.86265314935273e-06,-0.00183104285984927,0.000297220491117646,-0.00146816313846352
2005.25,-5.04762674400558e-05,-1.10850865210208e-05,-2.080983024004e-06,-1.73325822033467e-06,-0.000206557230664658,5.94417695600438e-05,-9.60778127886409e-08,-1.10532642278545e-05,0.00181161334223383,0.000259375360760715,0.00184734830464387
2005.5,-0.000147449699978966,-9.0577223586292e-07,4.3487342741663e-06,-4.75003820215111e-08,0.000833464417046226,8.50663873366099e-05,5.6116681328803e-08,2.3098558918851e-05,0.00149494052303858,0.000226170709159014,0.00251874247385792
2005.75,-7.16882793628856e-05,7.98862747662382e-06,5.22739414045793e-06,-2.37232119466206e-06,0.000927074435355886,0.00020691237695386,-1.70739005876674e-07,2.77656126893548e-05,-0.00307247130163095,0.000197093183902941,-0.00177464101067525
2006,3.70110268078359e-05,2.92923339160022e-05,6.91342997010492e-06,-2.49187922263108e-06,0.000944643522668601,0.000300205805926431,-2.72503852590716e-07,3.67210915701291e-05,-0.00387195683612185,0.000171665346502058,-0.00234826866183591
2006.25,0.000184249946241944,5.9336577841676e-05,9.67272941574595e-06,-1.08950719767651e-06,0.00107708232511525,0.000396452344176975,-2.94817770757333e-07,5.13772735305944e-05,0.000635885757676092,0.000149450229234553,0.0025621228582644
2006.5,0.000190868816115403,9.47025806529706e-05,1.57969652850613e-05,4.12569898732133e-06,0.00237597111207614,0.000452801009473,3.47068076373945e-08,8.39065140272312e-05,-0.00500586953949998,0.000130052729278841,-0.00165760940679638
2006.75,0.000230800996552526,0.000125758529052402,2.03636303709746e-05,6.25435216522881e-06,0.00297030734598491,0.000511806722680504,1.24640906687433e-07,0.000108162625322938,-0.00831817159461782,0.000113118953171101,-0.00423147379841055
2007,0.000202904238069443,0.00015512684343661,1.88140659637271e-05,8.77117690571459e-06,0.00330653599345041,0.000500485435000193,2.68973631076602e-07,9.99320224617812e-05,-0.00354031986359732,9.83342859672107e-05,0.000850853171288842
2007.25,0.0003396945293386,0.000179583983304204,1.46655328557883e-05,8.18862205438109e-06,0.00255596307638278,0.000545901847943823,1.16420074895265e-07,7.78968438605548e-05,0.000240402512632748,8.54207202004818e-05,0.00404783408864825
2007.5,0.000377043329825526,0.000208726408718857,1.80094760876734e-05,1.13407448300059e-05,0.00314928100114724,0.000573903996924685,2.88439854325793e-07,9.56583958187511e-05,-0.00390645583283619,7.41338103902754e-05,0.000601929770761152
2007.75,0.00050954602575447,0.000234294631664509,1.18503608316181e-05,1.24487560498606e-05,0.00199557157309616,0.000532293272126795,2.6759768028718e-07,6.29438913995857e-05,-0.000273366900924144,6.42594990697275e-05,0.00315010870674887
2008,0.000541521179149112,0.000255848286547664,5.82885497810607e-06,1.55238663687365e-05,0.0010155776381462,0.000389396853265855,4.2989686002868e-07,3.0960307448777e-05,0.000219419285281411,5.56109757059273e-05,0.00253011714375182
2008.25,0.000758425153922402,0.00026749882894495,8.59946416698669e-06,1.64074927175036e-05,0.00166093190620859,0.000541033325625484,4.05520118042362e-07,4.56765617783751e-05,0.00115817615938704,4.80256704247324e-05,0.00450518008329411
2008.5,0.000657150767172421,0.000285040411060792,1.23706444764544e-05,2.24928226580856e-05,0.00273844040797645,0.000412474744819537,9.05573407502957e-07,6.57074087053363e-05,-0.00367292836790433,4.13624429417819e-05,0.000563016855314032
2008.75,0.000417206237976065,0.000274815761490593,-9.61204651005461e-06,2.49533698291054e-05,-0.000215083777319219,-8.04224415859726e-05,1.21094488152902e-06,-5.1054952693286e-05,-0.0110435396231085,3.54989984388682e-05,-0.0106460275286009
2009,-8.16211886331686e-05,0.000220849162667523,-4.01709714619206e-05,2.57191205000412e-05,-0.00323166885475023,-0.000678745417276018,1.56728936711062e-06,-0.00021337048728243,-0.00421019349817219,3.03295426417986e-05,-0.00817730530239948
2009.25,-0.000165567043836998,0.000130228517429575,-2.91736726571136e-05,1.33947492825058e-05,-0.00287344377709113,-0.000522189660579252,8.49186011027428e-07,-0.000154957685217225,0.000513185442448869,2.57626754205306e-05,-0.00306191126878921
2009.5,-0.000300770919360704,6.37477806894998e-05,-1.59279744215159e-05,6.58224407328397e-06,-0.00168949029401216,-0.000419111339844622,5.26745173137887e-07,-8.4602376792469e-05,-0.00178191172223539,2.17195139448631e-05,-0.00419923834278608
2009.75,-0.000266910871851949,1.26059516191967e-05,-1.13461670465691e-05,-1.0808189814339e-06,-0.00174374988297306,-0.000306106090656842,2.51406990469605e-08,-6.02658363343086e-05,-0.00204511643902597,1.81320314047891e-05,-0.0044038129831471
2010,-0.000219446453143294,-1.87411856681899e-05,-9.13927179082957e-06,-4.35706022918628e-06,-0.0017889722792005,-0.000248903968665578,-1.91868498453418e-07,-4.85437818516385e-05,9.89113226916166e-05,1.49415945704143e-05,-0.00222444295178564
2010.25,-0.000147478846964864,-3.80830109566345e-05,-2.27802032749484e-06,-5.81613021740111e-06,-0.00150971005924212,-0.000178629691696105,-3.04544491044036e-07,-1.2099839501706e-05,0.00172302396008267,1.20976822896527e-05,-0.00015927850102504
2010.5,-0.000211893922901533,-4.91132964217194e-05,6.42104455412434e-06,-4.2709997199471e-06,-2.40745232545025e-05,-0.000129619091496889,-1.469295806385e-07,3.41057573545224e-05,-0.00244202994025114,9.55676689861143e-06,-0.00281106513481911
2010.75,-0.000168531176029834,-5.96329109872684e-05,5.16128541741635e-06,-5.80300713645052e-06,-0.000160106413195169,-9.1947878072771e-05,-2.75506226512726e-07,2.74144723027611e-05,5.28015982108852e-05,7.28134107928248e-06,-0.00039363819463766
2011,-0.000138080748658829,-6.39497216517349e-05,7.05269562410024e-06,-6.1926209942821e-06,-0.000277014140819613,-8.38731603251867e-05,-3.33979580093408e-07,3.74608093158866e-05,0.00367061923643754,5.23907367856865e-06,0.00315092744302635
2011.25,2.64389514332204e-05,-6.37273160319073e-05,5.60093425821347e-06,-6.82271975431198e-06,-0.000323407117809661,2.65905296694571e-05,-4.6085728988389e-07,2.97496930848365e-05,0.00360174977043855,3.40207922197057e-06,0.00329911394722048
2011.5,3.80766984482292e-06,-5.36682928736277e-05,7.68365895582225e-06,-3.16551774702788e-06,0.000160866062536602,-1.8793952203635e-05,-2.01753178149464e-07,4.08122083149e-05,-0.00172182892355082,1.74628718510074e-06,-0.00158274255271601
2011.75,8.66409576996093e-05,-5.16590297617952e-05,-2.29078116155073e-06,-3.13526208513449e-06,-0.00124835577663064,-0.00010230502702685,-2.57855630477261e-07,-1.21676194254057e-05,0.00131102319017746,2.50898442031525e-07,-2.22563054027504e-05
2012,6.83373798670261e-06,-5.44860631066062e-05,-8.94726616049455e-06,1.14001409799723e-08,-0.00215041977127476,-0.000290033774219968,-1.89342218573836e-09,-4.75239326069074e-05,0.00408968266969382,-1.10208236790178e-06,0.00154401302466268
2012.25,1.36558729912648e-05,-7.16686401191215e-05,-1.25228782688264e-05,-5.71550784553254e-07,-0.00275183195741076,-0.000334898957200134,-2.811083965725e-08,-6.65160074839349e-05,0.00354153493572218,-2.32824855566347e-06,0.00031482445805079
2012.5,-0.000154366377136841,-9.0719632458882e-05,-6.06558134265132e-06,8.20491229611662e-07,-0.0015979146098697,-0.00037223749570961,1.78680663968769e-07,-3.22176935143217e-05,0.000567516529389919,-3.44113601152786e-06,-0.00168844682476003
2012.75,-0.000168114190285201,-0.000115716646576789,-5.51515657096131e-06,-2.51704705250936e-06,-0.00141210685084664,-0.000308786064930833,-2.14240888549601e-08,-2.92940798332549e-05,0.000244614265259532,-4.45251850944984e-06,-0.00180190971343496
2013,-0.000200421086337238,-0.000131762765237072,-3.08254687320331e-06,-4.26214146565878e-06,-0.00078728615870896,-0.000250736035744808,-1.03049454726694e-07,-1.6373129761868e-05,0.000834859958054285,-5.37266047760058e-06,-0.000564539616006851
2013.25,-0.000109367543017806,-0.000141354618825781,-3.51754591288338e-06,-7.55635336281182e-06,-0.0015641575368854,-0.000224980521559314,-3.82432820207128e-07,-1.86836528507086e-05,0.000146350715457314,-6.21053315675419e-06,-0.00192986002293436
2013.5,-0.000171867695767307,-0.000143687565322324,2.23189939585333e-06,-5.30103166766455e-06,-0.00057608181993444,-0.000213113211379118,-1.75218249452442e-07,1.18548654495451e-05,0.000360675910697489,-6.97399929460742e-06,-0.000742437866072025
